Route_name,Route_link,Bus_name,Bus_type,Departing_time,Total_duration,Reaching_time,Star_Rating,Price,Seats_Available,State
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 155999,Bharat Benz A/C Seater (2+2),07:15,03h 35m,10:50,"4.1
117",298.0,7 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 177332,Bharat Benz A/C Seater (2+2),08:30,04h 15m,12:45,3.9,298.0,13 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,04h 30m,15:00,"3.8
329",298.0,9 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,BARBIE TRAVELS,A/C Seater Push Back (2+2),05:30,04h 30m,10:00,3.0,350.0,40 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Aziba Travels,NON A/C Seater (2+1),05:45,04h 55m,10:40,"4.5
19",347.0,22 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,04h 30m,10:45,"4.3
379",399.34,15 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:00,04h 00m,11:00,"4.5
118",399.34,15 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,04h 00m,11:30,"4.7
380",399.34,11 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),08:30,05h 00m,13:30,"3.9
6",405.0,25 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahi Travels(Under ASTC),A/C Seater (2+2),10:00,04h 45m,14:45,"4.0
289",357.0,28 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Upasana Travels (Under ASTC),Non AC Seater (2+2),11:00,04h 00m,15:00,"3.6
4",290.0,18 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,A/C Seater (2+1),11:30,04h 20m,15:50,"4.2
315",380.95,17 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,A/C Seater (2+1),12:15,04h 25m,16:40,"4.6
40",380.95,19 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,A/C Seater (2+1),13:00,04h 10m,17:10,"4.2
199",380.95,24 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,03h 35m,17:50,"4.3
164",377.0,44 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahalaxmi Travels,A/C Seater (2+2),14:35,03h 40m,18:15,"3.6
26",310.0,39 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),15:00,03h 40m,18:40,"4.4
384",360.0,31 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),15:35,03h 40m,19:15,"4.1
299",360.0,37 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),16:15,03h 25m,19:40,"4.2
421",360.0,37 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Kalpana Travels,AC Seater (2+2),16:50,03h 25m,20:15,"4.6
96",370.0,35 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),18:45,04h 15m,23:00,"3.4
50",500.0,47 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,A/C Seater / Sleeper (2+1),20:00,05h 30m,01:30,3.4,500.0,43 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),20:15,05h 00m,01:15,3.0,405.0,28 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),20:30,04h 30m,01:00,"4.3
14",500.0,39 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,05h 45m,02:30,3.0,475.0,43 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:15,04h 30m,01:45,3.0,405.0,33 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,04h 15m,02:00,"3.0
8",405.0,25 Seats available,ASSAM
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),07:45,05h 25m,13:10,"2.6
10",405.0,24 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Assam State Transport Corporation (ASTC) - 166131,Bharat Benz A/C Seater (2+2),07:20,06h 10m,13:30,"4.1
107",281.0,15 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Assam State Transport Corporation (ASTC) - 154034,A/C Seater (2+1),09:15,05h 45m,15:00,"4.1
7",285.0,16 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,NETWORK TRAVELS,Non A/C Seater / Sleeper (2+1),00:30,05h 00m,05:30,"4.2
11",500.0,49 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Purple Wings Coaches,A/C Seater / Sleeper (2+1),01:15,04h 00m,05:15,"3.5
9",602.0,2 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Purple Wings Coaches,A/C Seater / Sleeper (2+1),01:20,04h 10m,05:30,3.5,621.0,6 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,NETWORK TRAVELS,NON A/C Seater Push Back (2+1),04:01,05h 29m,09:30,"4.8
11",500.0,5 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Christina Travels,NON A/C Seater (2+2),07:15,03h 00m,10:15,4.0,350.0,37 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Aniruddha Travels,AC Seater (2+2),11:45,05h 45m,17:30,"3.7
31",475.0,26 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Atlanta Travels,Volvo A/C Seater (2+2),12:45,05h 30m,18:15,New,540.0,43 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,MADHURIKA TRAVELS,A/C Seater (2+1),12:45,05h 15m,18:00,"1.8
8",600.0,21 Seats available,ASSAM
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:30,05h 00m,18:30,"4.5
59",863.35,7 Seats available,ASSAM
